,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687762,株式会社SOMPOケア,,011-868-3731,北海道札幌市白石区南郷通3丁目北2番1号,https://www.sompocare.com/,https://xn--pckua2a7gp15o89zb.com/jb/748e30e494895e092fbf63168d9a8cd1,介護職・ヘルパー,ニュートラル（介護）,,古賀浩,,,,介護,介護付きホーム,,,,正社員,,,,,,,,,,,
565676,株式会社SOYOKAZE Staff Company,,0553-21-8071,山梨県山梨市上神内川15-5,https://www.sykz-sc.co.jp/?yclid=YSS.1000412257.EAIaIQobChMIz7W_xfOMhAMVyc9MAh3KjAyPEAAYASAAEgJQOfD_BwE,https://xn--pckua2a7gp15o89zb.com/jb/9a4d364599ba9971e828fcfd3a430082,ショートステイの介護職員さんシフト制夜勤あり,フコックス（介護）,,大橋 邦彦,,,,介護,介護,,,,正社員,,,,,,,,,,,
573322,株式会社SOYOKAZE Staff Company,,03-6804-3485,東京都港区北青山2-7-13プラセオ青山ビル5F,https://www.sykz-sc.co.jp/,https://xn--pckua2a7gp15o89zb.com/jb/fb050512d87984f59a1636ae814a98ac,介護職・ヘルパー,グローバル（介護）,,大橋 邦彦,107-0061,,,介護,有料職業紹介事業,,,,,,,,,,,,,,,
582321,株式会社SOYOKAZE Staff Company,,03-6804-3485,東京都港区北青山2-7-13プラセオ青山ビル5F,https://www.sykz-sc.co.jp/,https://xn--pckua2a7gp15o89zb.com/jb/f6e1efd5bc6d99ef3575ab4b26017ed6,介護スタッフ,er（介護）,,大橋 邦彦,,,,介護,介護紹介事業,,,,正社員,,,,,,,,,,,
800414,株式会社SOYOKAZE　まるがめショートステイそよ風,,0877-58-2052,香川県丸亀市津森町158ｰ1, ,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=lf4ebbecd138af5398ad0500d2ee7f22f&p=t%2BAK7k0GmMUr0ZRss/MBm7Xv7eTrQinbnMDo/1U/v3vL0P/nfgi6O7/7WYcSVZaHcosc0Tvy9%2BLDUNVOmHuIu6yEqhwHBfRIWevdSKLwAHEWc7xkfJHmyHzxhA7hQdAJoftjdNyTVdLGR2pfgAM6JLjDbgKRX3aJBUKeioCL1rmRdMFeNupzviu4HD%2Bt5p2mZPPWAwzxIkDsI4wxyTGNnG0NH2Q2Y4Sd8HAoo4RE20fOqJETdHr/OJkL6pMFCzxAB2cem2qmqFDrMTJ%2BYhnGw%2BQYXd%2BUpSkj1btvbgewB4ayqdS7lhaECG4MIuxs9alnEZy/mLutWl9vDNksIpZDt9ErspU0uqKCKpmCAEMhVeJCWf9oGr9lr%2BsOCQrzmd3HePrvADFShFCLTiaUgIr5gsSfKjRwly2uxsREVWtLFgzlEI0k%2B35nfjjdIC1RVE5wvBHKfaJubqvhtcFBfg5QmPYEIYV8LjBMKtm52EmscPbyRRP1brlugpshDkIZyZlqb1FCVTgdviA7DUClzwoPSg%3D%3D&ph=f5d047653964&phv=1,介護支援専門員居宅介護支援事業所介護支援専門員,ジョイスリー（介護）, , ,,,,介護,ショートスティ,,,,正社員,,,,,,,,,,,
800769,株式会社SOYOKAZE　まるがめショートステイそよ風,,087-815-5004,香川県高松市三名町61番１,https://sykz.co.jp/shisetsu-zaitaku/374773?utm_source=google&utm_medium=maps,https://xn--pckua2a7gp15o89zb.com/jb/002b0e1478dea2c3856306c38dddcb87,介護リーダー・社会保険完備の職場で介護職／ヘルパー,ジョイスリー（介護）, , ,,,,介護,ショートスティ,,,,正社員,,,,,,,,,,,
886656,株式会社SOYOKAZE みどりの郷湖陵,,0587-52-3221,愛知県江南市宮田神明町旭210,https://www.sykz.co.jp/,https://xn--pckua2a7gp15o89zb.com/jbn/d5189a32e01ad861c65bb62ce3da2cdb,介護職・ヘルパー／短期入所／常勤／嬉しい賞与は年3回,VIETA（介護）, , ,,,,介護,デイサービス・ショートステイ,,,,正社員,,,,,,,,,,,
743403,株式会社SOYOKAZE 戸田ケアコミュニティそよ風,,048-447-9430,埼玉県戸田市氷川町2丁目16-23,https://www.sykz.co.jp/,https://xn--pckua2a7gp15o89zb.com/jb/edf79c3ef92a6a682b689358b17e9d30,介護職・ヘルパー／有料老人ホーム,SOUND（介護）, , ,,,,介護,デイケア・デイサービス・ショートステイ・グループホーム,,,,正社員,,,,,,,,,,,
769857,株式会社SOYOKAZE 松江西津田ショートステイそよ風,,0852-20-9560,島根県松江市西津田2丁目8-20,https://www.sykz.co.jp/,https://xn--pckua2a7gp15o89zb.com/jb/bd68d4bc51d116b1bebbc1b87527211b,管理職,ジョイスリー（介護）, , ,,,,介護,ショートステイ,,,,正社員,,,,,,,,,,,
895688,株式会社SOYOKAZE 浜松東ショートステイそよ風,,053-423-2051,静岡県浜松市中央区下石田町1826-1,https://www.sykz.co.jp/,https://xn--pckua2a7gp15o89zb.com/jb/039e66ebb1a373dfba686dfe224dde4e,介護福祉士／ショートステイ,VIETA（介護）, , ,,,,介護,ショートステイ,,,,正社員,,,,,,,,,,,
886977,株式会社SOYOKAZE 豊橋ケアコミュニティそよ風,,0532-34-3441,愛知県豊橋市花田町字越水4-1,https://www.sykz.co.jp/,https://xn--pckua2a7gp15o89zb.com/jb/6160e56c76620da85d06b698b60ae964,主任介護支援専門員,VIETA（介護）, , ,,,,介護,デイケア,,,,正社員,,,,,,,,,,,
727752,株式会社SOYOKAZEStaff,,03-6804-3485,〒107-0061東京都港区北青山2-7-13プラセオ青山ビル5F,https://www.sykz-sc.co.jp/,https://xn--pckua2a7gp15o89zb.com/jb/ab19b6dcfd9cf795e40a344a8e51bdb4,介護職・ヘルパー／グループホーム,SOUND（介護）,,,,,,介護,介護,,,,正社員,,,,,,,,,,,
998861,株式会社SOYOKAZEあさかの杜ケアコミュニテ...,,0120-384-233,福島県郡山市,https://www.sykz.co.jp/shisetsu/180,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=lec0752dfcf920518d0327b18eea28c57&p=t%2BAK7k0GmMUr0ZRss/MBm9NL/0Ic9Jo6T037yQlw/6HUeffzp0OpmcucAOO%2BGVoelMzacCFSMKdaM3HGzqXPaGidAgfHqBQoe/89nqap1kfa34fH50mKr563KwRcMXT6BIE3Wn35WWnVr7hNq0oz40f9c7M%2BHFfdOKPRrw0349Cggenjmfd0HTumWqHEZVhqsmc6RrFc02GYHPfvJ7ZbXLWMEUTeOsZarXroYHtp79jFS1qI4dl6FVqs/t91CaxQT974xkXtrvdN%2BccQSvE0zm6j1VTQjNLXl6k2ZZ8moN9h4w/0BdBFGLuom/muUdo2fN8buOJN79NZq%2BowoaJ7g3pCXxhFNxKZf%2BmsR5oGavFau81GRk3qZIPG3YR6C4y/5rWYUicKLu7MErumTGRaIONt29ImZv/sUyGabusSJpqDJhA/T096bSeV/1rPpZclzI6EjTHqR3JrSI2xnmcEsCkQ8fq6ekiM6khj0ujxQPbR1%2BsQC6wdQZ2XDC6j%2Bm%2BBeRLF/zVRvtudW9z3agKRelFhf1cYcuEwMpBm4lyKPoUdrFljVp0gndgsTxmn2BKh&ph=6663b8cbc18b&phv=1,介護職員・ヘルパー／有料老人ホーム／介護福祉士／日勤・夜勤,モンキークルー（介護）, , ,,,,介護,介護付きホーム,,,,正社員,,,,,,,,,,,
710373,株式会社SOYOKAZE川口元郷ショートステイそよ風,,048-228-3610,埼玉県川口市元郷4-8-22,,https://xn--pckua2a7gp15o89zb.com/jb/e46b287e15cf35bd96244f4bbdcce166,ショートステイの介護業務,グローバル（介護）,,,,,,介護,,,,,正社員,,,,,,,,,,,
508010,株式会社SOYOKAZE金山ケアコミュニティそよ風,,052-332-8551,愛知県名古屋市中区古渡町17-7,https://www.sykz.co.jp/shisetsu/173,https://xn--pckua2a7gp15o89zb.com/jb/7cfb03f21310fc51abd74056cb1c9501?utm_source=%E6%B1%82%E4%BA%BA%E3%83%9C%E3%83%83%E3%82%AF%E3%82%B9.com&utm_medium=organic,介護付き有料老人ホームの介護職員,G&G（介護）,,,460-0025,,,介護,介護付有料老人ホーム,,,,正社員,,,,,,,,,,,
747342,株式会社SOYOKAZE金山ケアコミュニティそよ風,,052-332-8551,愛知県名古屋市中区古渡町17-7,https://www.sykz.co.jp/shisetsu/173,https://xn--pckua2a7gp15o89zb.com/jb/7cfb03f21310fc51abd74056cb1c9501?utm_source=%E6%B1%82%E4%BA%BA%E3%83%9C%E3%83%83%E3%82%AF%E3%82%B9.com&utm_medium=organic,介護付き有料老人ホームの介護職員,SOUND（介護）,,,460-0025,,,介護,介護付有料老人ホーム,,,,,,,,,,,,,,,
144735,株式会社START　UP　求人課案内,,080-7214-8648,新潟県上越市,https://jp.indeed.com/rc/clk?jk=db5f7896813e66e7&fccid=5e04da1e3606d87b&vjs=3,,介護用品の製造スタッフ,さくら（介護）,,,,,,,,,,,,,,,,,,,,,,
800627,株式会社SUN　アコルデイサービス,,087-863-6021,香川県高松市藤塚町1-13-7,https://sun-walk.co.jp/service/akolu-day-service/,https://xn--pckua2a7gp15o89zb.com/jbn/e39b74ea5de3a6588c1af3c09f43e50a,介護職・ヘルパー／通所介護／デイサービス／日勤のみ／無資格,ジョイスリー（介護）, , ,,,,介護,通所介護,,,,正社員,,,,,,,,,,,
874314,株式会社SUN　アコルデイサービス,アコルデイサービス,087-863-6021,香川県高松市藤塚町1丁目13-7　第3八十川ビル1階,https://sun-walk.co.jp/day-service/,https://xn--pckua2a7gp15o89zb.com/jbn/e39b74ea5de3a6588c1af3c09f43e50a,介護職・ヘルパー／通所介護／デイサービス／日勤のみ／無資格,ジョイスリー（介護）,,,,,,介護,地域密着型通所介護,,,,正社員,,,,,,,,,,,
874572,株式会社SUN　アコルデイサービス,アコルデイサービス,087-899-5508,香川県高松市藤塚町1丁目13-7　第3八十川ビル1階,,https://xn--pckua2a7gp15o89zb.com/jbn/e39b74ea5de3a6588c1af3c09f43e50a,介護職・ヘルパー／通所介護／デイサービス／日勤のみ／無資格,ジョイスリー（介護）,,,,,,介護,地域密着型通所介護,,,,正社員,,,,,,,,,,,
84299,株式会社T.S.I アンジェス亀岡,,0771-24-7677,京都府亀岡市安町58,https://jp.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C_mjjssJamD1TgrYNT5AbXikEq8MP6P1GHluH6cDPtl1A2UjUVCz9qCLKb-MITfP_egFe-yooAd_V6flKJlfeO-Bi2E9-JFVg4iZpkz3aILtfGaX8k_kGhZsNQWyqTp_Bfl8wy8XYLVZT70f3xUAnMOpCbefHMZp9MSQhnDSyXNcMnmz8yn_pEc0KkK4O9CO--dX-9INpI-SJ8NC4i-AeeJiF5gVO9TrQwfFD5u7sPkRV5h9oW4yaceIby6EL_H8j3DvLWz1HYrmGE2Xq-5KkPLAwPv0-pz4azC915rz22TWetquo1xtJ1w_KSUyvMRoeX5gKRooCcIwu87JrbvVND-EORDGHtIXanEmzvf7kyGmff85agsmQa5PKx34JbosR6Ju8zEUOUBiqxA0C4S2iF0Az6nvxLT_xXK2uiABDSTxWdIZafDyLQV1ygiPwJzRFuzG5XbwO52mIIrUHDik4uzpOGNLnih1Pfk4GafM7be3CYAUUCNga3v7R9HGob0NSPIywrXgjTIQaeZ-yJkwwVwkHEJRTGWqK4zkWnwbdQ5ugurVtMkosDVXd1Dn1mhCIWo0bmIj4sG-BCd3NDm0u9lZh6HspkMbkoXsaxPRKWFUfu1h9uepo7piWH63Cz_eIJ2Ax5ib7BxP_LdkUjaKN0-FXa-aFP753ZYmEBUknDRW6AZs-RgjfynYPo0LTBJMiS2ji3hha7SIomcZYBo0Lp_ccXhjh9lsW07GtxkqHuRA==&p=32&fvj=0&vjs=3,https://www.t-s-i.jp/anges/kameoka/overview.html,未経験スタート可能!介護スタッフ【正社員】新着,ビイサイド（介護）,,,,,,,,,,,正社員,,,,,,,,,,,
932213,株式会社Ｔ．Ｓ．Ｉ　サービス付き高齢者向け住宅アンジェス岩倉,,075-706-7775,京都府京都市左京区岩倉長谷町1588番地,https://www.t-s-i.jp/index.html,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l6eb26c57fce5e40ab2cde806f8a1d540&p=t%2BAK7k0GmMUr0ZRss/MBm5WRwKeyQd/tzEQocDRdq6FrJF%2Bq7Bx16zG/1ch0ADpXea5TM7TMCIG7pIA07e7koo19Vc4o0oBwTZqoe9u0cK8tO6/6ATAXHEYcE/OMdnD%2BoftjdNyTVdLGR2pfgAM6JLjDbgKRX3aJBUKeioCL1rmRdMFeNupzviu4HD%2Bt5p2mZPPWAwzxIkDsI4wxyTGNnPKpZeNPIbbvfM9sNSOAT8TvTQ%2Biee4%2BlGLhEJEw/2j7B2cem2qmqFDrMTJ%2BYhnGw8Cb6lguCEpTkN1hmq8NwkQXi%2BfQzd%2B8y4maWkXrFpUi0HVmvSPRCVPg9OrHkzQfa9ErspU0uqKCKpmCAEMhVeJCWf9oGr9lr%2BsOCQrzmd3HA7oT3e2DgPGY6tX2TEx5%2BC6sIkW3LRic9%2BkvsHxZ5xzH0mVUz6Pud%2BFfsf%2BoMk6WtTK8nZ5WXwoW/zx8/L5P/ji39LyV1FLwFJk8pGzvPDMmQEaQPCxCP13X7LKPSLUA&ph=08576b9213d0&phv=1,介護職員／初任者研修／日勤・夜勤両方,ニューアース（介護）, , ,,,,介護,介護,,,,正社員,,,,,,,,,,,
598764,株式会社Ｔ．Ｓ．Ｉ（Terminalcare Support Institute）,,06-6252-3731,,https://www.t-s-i.jp/anges/index.html,https://xn--pckua2a7gp15o89zb.com/jb/957ea82b01af5f2f245d31fd0dca191c,サービス付き高齢者向け住宅での介護業務全般／初任者研修以上／介護スタッフ／年収350万以上も可能!,ニュートラル（介護）,,北山忠雄,615-8074,418,,介護,介護予防訪問介護・居宅介護支援・訪問看護,,,,,,,,,,,,,,,
802737,株式会社T.S.Iサービス付き高齢者向け住宅アンジェス守山,,077-582-7711,滋賀県守山市古高町602番, https://www.t-s-i.jp/index.html,https://xn--pckua2a7gp15o89zb.com/jbn/74d1ec0e116782f721f8118e7102eca4,ケアマネージャー／主任介護支援専門員／サービス付高齢者住宅／交通費支給,ニューアース（介護）, , ,,,,介護,ケアマネジメント,,,,正社員,,,,,,,,,,,
800256,株式会社T’s フィジオ リハビリステーションネトレン撫養,,088-684-5501,徳島県鳴門市撫養町黒崎字松島440.,http://www.netoren.co.jp/page1,https://xn--pckua2a7gp15o89zb.com/jbn/1e4413774d0b0187c83befb67f82779d,介護職・ヘルパー／居宅介護支援事業所／日勤のみ／マイカー通勤可能,ジョイスリー（介護）, , ,,,,介護,デイケア,,,,正社員,,,,,,,,,,,
800289,株式会社T’s フィジオリハビリステーションネトレン撫養,,088-684-5501,徳島県鳴門市撫養町黒崎字松島440,http://www.netoren.co.jp/page1,https://xn--pckua2a7gp15o89zb.com/jbn/b143366e351fafbcc94a892f93b8bc39,作業療法士／OT／介護関連施設／リハビリ重視の短時間2部制のデイサービ...,ジョイスリー（介護）, , ,,,,介護,デイケア・デイサービス,,,,正社員,,,,,,,,,,,
120746,株式会社THREE TREES(リハフィットネス),,078-221-0888,神戸市中央区神若通1-1-3-1F,https://jp.indeed.com/rc/clk?jk=db593ddbd41c0bb6&fccid=b5387484f262dc99&vjs=3,,(正)デイサービスでの介護職員新着,圏友（介護）,,森　佳広,651-0067,,,デイケア,,,,,正社員,,,,,,,,,,,
133206,株式会社TLC烏山ケアステージとちの木,,0287-80-0818,栃木県那須烏山市神長487-5,https://xn--pckua2a7gp15o89zb.com/jb/6f866279aea113db7a178a2ae6fca79b,https://karasuyama-tochinoki.jimdofree.com/,車通勤OK日勤帯のみデイサービスにて介護職,圏友（介護）,,,321-0632,,,住宅型有料老人ホーム・通所介護・介護予防通所介護・居宅介護支援事業所,,,,,正社員,,,,,,,,,,,
141782,株式会社TMコーポレーションデイサービスひなた...,,045-317-2031,神奈川県横浜市西区浅間町1-7-7和泉ビル1階,https://xn--pckua2a7gp15o89zb.com/jb/eb4f3df55d8a0c06ee6e196b17e0adae,https://www.rakuraku.or.jp/kaigo/w10/wpJDetails.aspx?JGNO=ST1490300132&SVCD=780&THNO=14100,月9日休みで働きやすさ経験者優遇!昇給有介護スタッフ,圏友（介護）,fukushi@kanafuku.jp?subject=【介護情報サービスかながわ】,西澤　沙樹,220-0072,9,,地域密着型通所介護,,,,,正社員,,,,,,,,,,,
769170,株式会社TOKAコーポレーション　はぁ～と奈良デイサービス,,0742-22-2353,奈良県奈良市大森町299-6, http://heart-toka.com/,https://xn--pckua2a7gp15o89zb.com/jb/196502f5a43992a4e117cafb3c5b39cf,介護士,ジョイスリー（介護）, , ,,,,介護,デイサービス・通所介護,,,,正社員,,,,,,,,,,,
91609,株式会社Toキープライフコンチネンタル西淀,,06-6477-4625,大阪市西淀川区佃 1-1-56,https://xn--pckua2a7gp15o89zb.com/jb/f7207cda30865a8fbb87b4dc6ff87532,http://tokeeplife.ne.jp/oasis.html,有料老人ホーム／介護福祉士,ビイサイド（介護）,,,,,,,,,,,正社員,,,,,,,,,,,
93095,株式会社TRIBALHEARTSケア希望～の...,,06-6926-9865,大阪府大阪市鶴見区安田4-9-26,https://xn--pckua2a7gp15o89zb.com/jb/819ddce0a5b29abef24318f0e25ce9e3,http://hp.kaipoke.biz/68g/106903/index_0003.html,介護職,ビイサイド（介護）,,,,,,,,,,,アルバイト・パート,,,,,,,,,,,
367629,株式会社TRINITYPARTNERS住宅型...,,052-684-7910,愛知県名古屋市熱田区白鳥三丁目10番19号BLG白鳥8F,https://www.trinitypartners.co.jp/,https://xn--pckua2a7gp15o89zb.com/jb/47451f3c4595f9f2dd38ee95ca58b73f,介護・資格無し／住宅型有料老人ホーム施設,FUJI（介護）,info@trinitypartners.co.jp,澤田 昌志,456-0035,,,介護、その他,,,,,アルバイト・パート,,,,,,,,,,,
128314,株式会社Triple Arrowsケアマネ・ケアマネージャー正社員,,073-471-3445,和歌山県和歌山市鳴神119-11 ハイカムール102,https://jp.indeed.com/rc/clk?jk=828b605cba9d0166&fccid=5f602f0348014afd&vjs=3,,老人福祉・介護事業ケアマネ・ケアマネージャー正社員新着,圏友（介護）,,木下 守弘,640-8303,2,,居宅介護支援,,,,,正社員,,,,,,,,,,,
803916,株式会社Ｕｎｉｔｙ　訪問介護DOORS,,075‐708‐3378,京都府京都市下京区西洞院通四条下る妙伝寺町720　光悦ビル５階南東室,https://unity2021.jp/,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l3b8a042673a6b1f4b79ab19a67a46c56&p=t%2BAK7k0GmMUr0ZRss/MBmwNjGBATlY9Tuz7B6YEa/I1Kk0SO5S24pCRlWk92wFC0XAov872mDptOYpW8nWZAvxoeYlXfDyAeIFd9NbOsvYvbjcjJFSJ3WF4s4FZgMEckNvJYbf3veWGhmm5OoxF98uDKDJQ81MKkfdgT7mzXvsjY7CV/XjmbeDGukPODfCzZcLl3OuFMBhK06LSF/BNINvTfAbxA/aqYcfhV6E%2BwjDGQqFs36tMl82Pmk7gM1o2a1c4nUiLnykUxIU/%2BXiqRssYwbI%2BEn5sQHyldKmGBYS3CuFAseKTXGgQvRv/SzDW7EZy/mLutWl9vDNksIpZDt9ErspU0uqKCKpmCAEMhVeJCWf9oGr9lr%2BsOCQrzmd3HVl/wHtSBwDwoUGWtUoGuTAySsicNsCfvVo7AoJGxYYkZ%2BShJoz8NAf97Io38D%2B1pKRDx%2Brp6SIzqSGPS6PFA9s/5bvI6f%2BaiiiwhpgUVnJHhL6cxRwN/QJdwaA5XTPJayXSzuEuhC06iul8iUTh6aA%3D%3D&ph=676c3b547f75&phv=1,介護職員／介護福祉士／日勤・夜勤両方,ニューアース（介護）, , ,,,,介護,訪問介護,,,,正社員,,,,,,,,,,,
830461,株式会社URAKU デイサービス遊楽苑市之倉,,0572-23-2113,岐阜県多治見市市之倉町3-30, ,https://xn--pckua2a7gp15o89zb.com/jbn/8930c81d83f6db6e7dcb37b805524754,介護職・ヘルパー／通所介護／デイサービス／無資格OK／マイカー通勤OK,VIETA（介護）, , ,,,,介護,デイサービス,,,,正社員,,,,,,,,,,,
830547,株式会社URAKU デイサービス遊楽苑瑞浪,,0572-68-2160,岐阜県瑞浪市松ヶ瀬町4丁目55番地の2, ,https://xn--pckua2a7gp15o89zb.com/jbn/14e5625b0918714569f1236e917d6b6d,介護職・ヘルパー／通所介護／デイサービス／即日勤務可能な方歓迎!,VIETA（介護）, , ,,,,介護,デイサービス,,,,正社員,,,,,,,,,,,
77875,株式会社URAKUデイサービス遊楽館,,0572-68-2475,岐阜県瑞浪市松ヶ瀬町4-55-3,https://xn--pckua2a7gp15o89zb.com/jb/150fa2c88ff0683183a5df8ad10861ae,,無料駐車場完備デイサービスでのお仕事です!介護職,ビイサイド（介護）,,,,,,,,,,,"<li class=""c-icon c-icon-result p-result_icon p-result_employType"">正社員</li>",,,,,,,,,,,
588968,株式会社URAKUデイサービス遊楽館,,0572-68-2475,岐阜県瑞浪市松ヶ瀬町4-55-3,https://xn--pckua2a7gp15o89zb.com/jb/150fa2c88ff0683183a5df8ad10861ae,,無料駐車場完備デイサービスでのお仕事です!介護職,G&G（介護）,,,,,,介護,,,,,"<li class=""c-icon c-icon-result p-result_icon p-result_employType"">正社員</li>",,,,,,,,,,,
856937,株式会社wingサポートデイサービス通所介護はっぴーほーむ,,06-7898-9191,大阪府大阪市西成区玉出西２－４－２７メゾンドマルキ１階,https://www.kaigokensaku.mhlw.go.jp/27/index.php?action_kouhyou_detail_006_kihon=true&JigyosyoCd=2773308610-00&ServiceCd=150,https://xn--pckua2a7gp15o89zb.com/jb/0f90ce8219007fa7de387a33061cfd85?utm_source=%E6%B1%82%E4%BA%BA%E3%83%9C%E3%83%83%E3%82%AF%E3%82%B9.com&utm_medium=referral,日勤のみ／デイサービスの介護職,ニューアース（介護）, , ,,,,介護,通所介護,,,,正社員,,,,,,,,,,,
135494,株式会社Wohlスペシャルデイサロンメロディー,,056-973-5108,愛知県知多郡武豊町道仙田9番地2,https://xn--pckua2a7gp15o89zb.com/jb/5ec5b3c179c3852c04055864e18163fe,http://helperjob.net/info.php?type=items&id=I00000349871,無料駐車場完備未経験歓迎デイサービスで介護職員,さくら（介護）,,杉江 寛子,470-2511,22,,通所介護,,,,,正社員,,,,,,,,,,,
712200,株式会社Y.T.B Group.jp,,086-429-3434,岡山県倉敷市二日市726-1,https://laugroup.jp/,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l6b24b70770e3c637c8b9d1a1e3f620e4&p=t%2BAK7k0GmMUr0ZRss/MBm3V%2BtV5NhxqU7a9%2BfidWDQVA19FbBhjwAbSclHmGY3T/krMo63r65VKRHs7XVVN45mq2qAdgMCt/ZQjSH6%2BDvK/sTTHNognLn8FKwW1MMvA6yPIO26/I9VtrdlETv8pGQpva26DgKc7dphM0D32D7W97S6gqy51nRefgDydxshdUyvDy0ULD0Gz/r6kXnA2He4wX1Upv50bNDgXHUk64Br40ihyyh1TJPFn43gbGGQjfb5RPpaT0ZOYJjl5qKuOjqKQiWirhz8mLwNHY0cFj8rCiuBT/Qo%2BkQ%2BnnzVFoUnnwd3WsrjtW3oW3qwa6xkK4o6H148qrFhwf2W5gmuQVbHdP/t1tFTKHxdS6AVNsqrAqyQ3KJ5pKyBeESU30rkB3uzUym5omvNB3RPGYZUrYVEAOj9RBPp/8wI8i0FAnhr6NnDkarr3l4gAEPDftRiWyBWoW8vaKJ7fHqgv3ekeyJ2lVdoOzIRTCUACfYp3nLfeR&ph=93508c02b99b&phv=1,介護職員／初任者研修／デイサービス／日勤のみ,ジョイスリー（介護）,,,,,,,,,,,正社員,,,,,,,,,,,
769062,株式会社Y’sGardenほっこり庵広陵町,,0745-54-5558,奈良県北葛城郡広陵町平尾７０９−７,https://www.narakaigo.com/facility/4251/,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l39f9005981434c0c7add8635172fac19&p=t%2BAK7k0GmMUr0ZRss/MBm3iPrsy6rKE2tB1NoW0XbuDS792plpdv9rP4qCPR80pBPBH4nDCKldnOyR%2BAzOSzTcz3yms3vsrUNNIVtzjz%2BcYyA3VJ/JGkcVCRu0cU08zYNvJYbf3veWGhmm5OoxF98uDKDJQ81MKkfdgT7mzXvsjY7CV/XjmbeDGukPODfCzZcLl3OuFMBhK06LSF/BNINnYa4Btr4ujB/828vZScgvAkUgc0MGN4q22hIRYOcow51c4nUiLnykUxIU/%2BXiqRsk34OWdANGlS7Tkvv9qb2XsIdRTeeUe6LMJg7kf24cNebaVCLIvL3JkVqr7h8o9b8iMyX%2BKXvp5Vd5Mh9n7YzRAQQYUeQT5TAXErZpSvL0ds1ht8wZoqrOr6PIOU0g4/BJ1picXAbWzbebqO6Abpfve2PfsqTqYEIEjomCvt3xm8KRDx%2Brp6SIzqSGPS6PFA9gp6TeCGO7B8c3EsTGjdZIWSY2vEAHQNthbaWiAoCP5M9tIL0J1ys5BwzLdUj6my9Q%3D%3D&ph=267be8b231ed&phv=1,介護職員／初任者研修／有料老人ホーム／日勤・夜勤両方,ジョイスリー（介護）, , ,,,,介護,老人ホーム,,,,正社員,,,,,,,,,,,
85529,株式会社YC チャイルドウィッシュ刈谷,,0566-91-0633,刈谷市一色町3丁目9-9 刈谷一色町ビル3階,https://jp.indeed.com/rc/clk?jk=46ba71380cc9733f&fccid=1b23657ebcb627a4&vjs=3,http://child-group.com/place_type/%e3%83%81%e3%83%a3%e3%82%a4%e3%83%ab%e3%83%89%e3%83%8f%e3%83%bc%e3%83%88%e4%b8%80%e5%88%88%e8%b0%b7/,障害児デイサービス管理指導員新着,ビイサイド（介護）,,,,,,,,,,,正社員,,,,,,,,,,,
830286,株式会社YKA ふじさわデイサービス,,058-236-0330,岐阜県岐阜市三田洞850-2,https://www.yka-kaigo.com/index.php,https://xn--pckua2a7gp15o89zb.com/jb/8d8b2a3cb76de898cadf8a6e8c9648ac,介護職員・ヘルパー／デイサービス・デイケア／湧水館デイサービスセンター,VIETA（介護）, , ,,,,介護,デイサービス,,,,正社員,,,,,,,,,,,
676313,株式会社YSGホールディングス,,045-662-2611,神奈川県横浜市中区長者町4-9-1 YS関内ビル,https://www.ysgholdings.co.jp/,https://xn--pckua2a7gp15o89zb.com/jb/11e27cd9c4f3fa4d92834e894eea3b8c?utm_source=%E6%B1%82%E4%BA%BA%E3%83%9C%E3%83%83%E3%82%AF%E3%82%B9.com&utm_medium=referral,介護職員,グローバル（介護）,,長堀　真己,231-0033,467,,介護,介護サービスと医療連携、生活サポート,,,,正社員,,,,,,,,,,,
931401,株式会社YT ケアステーションこぱん,,078-515-8860,兵庫県神戸市兵庫区福原町1-3-201,https://hp.kaipoke.biz/szv/,https://xn--pckua2a7gp15o89zb.com/jb/f7424f9fdf8195090acb78f96e9bfdf6,介護職・ヘルパー,ニューアース（介護）, , ,,,,介護,グループホーム,,,,正社員,,,,,,,,,,,
759274,株式会社YTW アンインスケア,,028-612-7459,栃木県宇都宮市陽南2丁目14番14号,https://hp.kaipoke.biz/5xb/index.html,https://xn--pckua2a7gp15o89zb.com/jb/19a0a1034dabf87d80093772162f2069,介護職員・ヘルパー,SOUND（介護）, , ,,,,介護,デイケア,,,,正社員,,,,,,,,,,,
77915,株式会社YYメディカルデイサービスあずさ坂祝,,0574-42-9995,岐阜県 加茂郡坂祝町酒倉1295-2,https://xn--pckua2a7gp15o89zb.com/jb/72006e73a4f3bd75fb7780563860b395,http://www.yym-azusa.com/sakahogi,デイサービスにて介護職員,ビイサイド（介護）,yym-azusa@gray.plala.or.jp,,,,,,,,,,"<li class=""c-icon c-icon-result p-result_icon p-result_employType"">正社員</li>",,,,,,,,,,,
