company,,,,,,,,,
社会福祉法人太陽会介護老人保健施設たいよう,04-7093-7711,千葉県鴨川市西町1011番地1,,,https://xn--...,,,04月02日 21時23分,
セントケア千葉株式会社セントケア市原,0436-22-2944,千葉県市原市惣社4-3-5,,,https://xn--...,,,04月02日 21時23分,
株式会社さわやか倶楽部さわやかゆう輝の里,043-305-1233,千葉県千葉市中央区川戸町...,,,https://xn--...,,,04月02日 21時23分,
社会福祉法人生活クラブサポートハウス高根台,047-496-6555,千葉県船橋市高根台6-2...,介護,訪問看護,https://kaze...,,,04月02日 21時23分,
株式会社サムエスハッピーデイBali緑町,027-386-8782,群馬県高崎市緑町1丁目8-1,介護,グループホーム,https://www....,,,04月02日 21時40分,
社会福祉法人創世福祉事業団「聖・輝きの郷」,024-535-8000,福島県福島市旭町9-7,,,https://jp.i...,,,04月02日 21時56分,
社会福祉法人高田福祉会サテライト型特別養護老人ホ...,025-520-6388,新潟県上越市とよば112,特別養護老人ホーム,,https://xn--...,,,04月02日 21時56分,
株式会社フイユマ・メゾン花水木ゆうすい,055-934-5860,静岡県駿東郡清水町徳倉６...,介護,介護付き有料老人ホーム,https://www....,,,04月09日 22時58分,
社会福祉法人寿康会特別養護老人ホーム平成の杜,0550-76-3388,静岡県駿東郡小山町小山２...,介護,特別養護老人ホーム,http://jukoh...,,,04月09日 22時58分,
ナメカワアルミ株式会社富士工場,0555-24-1411,山梨県富士吉田市上暮地５...,工場,金属加工,,,,04月09日 22時58分,
社会福祉法人サンあなん救護施設阿南富草寮,0260-22-2524,長野県下伊那郡阿南町富草...,介護,グループホーム,http://busin...,,,04月09日 23時13分,
グリーンライフ東日本株式会社メディス安中,027-380-6699,群馬県安中市原市3452...,介護,グループホーム,https://www....,,,04月09日 23時13分,
株式会社サムエスハッピーデイBali緑町,027-386-8782,群馬県高崎市緑町1丁目8-1,介護,グループホーム,https://www....,,,04月09日 23時13分,
ちよだ株式会社グランヴィル前橋,027-234-7025,群馬県前橋市千代田町3丁...,介護,デイサービス・グループホーム,https://chiy...,,,04月09日 23時13分,
